Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.1.1,PCI Data Security Standard v3.2.1 - 9.1.1,"Use either video cameras or access control mechanisms (or both) to monitor individual physical access to sensitive areas. Review collected data and correlate with other entries. Store for at least three months, unless otherwise restricted by law.

Note: “Sensitive areas” refers to any data center, server room or any area that houses systems that store, process, or transmit cardholder data. This excludes public-facing areas where only point-of-sale terminals are present, such as the cashier areas in a retail store.","When investigating physical breaches, these controls can help identify the individuals that physically accessed the sensitive areas, as well as when they entered and exited. Criminals attempting to gain physical access to sensitive areas will often attempt to disable or bypass the monitoring controls. To protect these controls from tampering, video cameras could be positioned so they are out of reach and/or be monitored to detect tampering. Similarly, access control mechanisms could be monitored or have physical protections installed to prevent them being damaged or disabled by malicious individuals.

Examples of sensitive areas include corporate
database server rooms, back-office rooms at retail
locations that store cardholder data, and storage
areas for large quantities of cardholder data.
Sensitive areas should be identified by each
organization to ensure the appropriate physical
monitoring controls are implemented.",9.1.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.1.2,PCI Data Security Standard v3.2.1 - 9.1.2,"Implement physical and/or logical controls to restrict access to publicly accessible network jacks.
For example, network jacks located in public areas and areas accessible to visitors could be disabled and only enabled when network access is explicitly authorized. Alternatively, processes could be implemented to ensure that visitors are escorted at all times in areas with active network jacks.","Restricting access to network jacks (or network ports) will prevent malicious individuals from plugging into readily available network jacks and gain access into internal network resources.

Whether logical or physical controls, or a combination of both, are used, they should be sufficient to prevent an individual or device that is not explicitly authorized from being able to connect to the network.",9.1.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.1.3,PCI Data Security Standard v3.2.1 - 9.1.3,"Restrict physical access to wireless access points, gateways, handheld devices, networking/communications hardware, and telecommunication lines.","Without security over access to wireless components and devices, malicious users could use an organization’s unattended wireless devices to access network resources, or even connect their own devices to the wireless network to gain unauthorized access. Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources.",9.1.3,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.2,PCI Data Security Standard v3.2.1 - 9.2,"Develop procedures to easily distinguish between onsite personnel and visitors, to include:
•  Identifying onsite personnel and visitors (for example, assigning badges)
•  Changes to access requirements
•  Revoking or terminating onsite personnel and expired visitor identification (such as ID badges).",Identifying authorized visitors so they are easily distinguished from onsite personnel prevents unauthorized visitors from being granted access to areas containing cardholder data,9.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.3,PCI Data Security Standard v3.2.1 - 9.3,"Control physical access for onsite personnel to sensitive areas as follows:
•  Access must be authorized and based on individual job function.
•  Access is revoked immediately upon termination, and all physical access mechanisms, such as keys, access cards, etc., are returned or disabled.","Controlling physical access to sensitive areas helps ensure that only authorized personnel with a legitimate business need are granted access.

When personnel leave the organization, all physical access mechanisms should be returned or disabled promptly (as soon as possible) upon their departure, to ensure personnel cannot gain physical access to sensitive areas once their employment has ended.",9.3,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.4,PCI Data Security Standard v3.2.1 - 9.4,"Implement procedures to identify and authorize visitors.
Procedures should include the following:","Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.",9.4,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.4.1,PCI Data Security Standard v3.2.1 - 9.4.1,"Visitors are authorized before entering, and escorted at all times within, areas where cardholder data is processed or maintained.","Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.",9.4.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.4.2,PCI Data Security Standard v3.2.1 - 9.4.2,Visitors are identified and given a badge or other identification that expires and that visibly distinguishes the visitors from onsite personnel.,"Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.",9.4.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.4.3,PCI Data Security Standard v3.2.1 - 9.4.3,Visitors are asked to surrender the badge or identification before leaving the facility or at the date of expiration.,"Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.",9.4.3,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.4.4,PCI Data Security Standard v3.2.1 - 9.4.4,"A visitor log is used to maintain a physical audit trail of visitor activity to the facility as well as computer rooms and data centers where cardholder data is stored or transmitted.

Document the visitor’s name, the firm represented, and the onsite personnel authorizing physical access on the log.

Retain this log for a minimum of three months, unless otherwise restricted by law.","Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities (and potentially, to cardholder data).

Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.

Ensuring that visitor badges are returned upon expiry or completion of the visit prevents malicious persons from using a previously authorized pass to gain physical access into the building after the visit has ended.

A visitor log documenting minimum information on the visitor is easy and inexpensive to maintain and will assist in identifying physical access to a building or room, and potential access to cardholder data.",9.4.4,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.5,PCI Data Security Standard v3.2.1 - 9.5,Physically secure all media.,"Controls for physically securing media are intended to prevent unauthorized persons from gaining access to cardholder data on any type of media. Cardholder data is susceptible to unauthorized viewing, copying, or scanning if it is unprotected while it is on removable or portable media, printed out, or left on someone’s desk.",9.5,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.5.1,PCI Data Security Standard v3.2.1 - 9.5.1,"Store media backups in a secure location, preferably an off-site facility, such as an alternate or backup site, or a commercial storage facility. Review the location’s security at least annually.","If stored in a non-secured facility, backups that contain cardholder data may easily be lost, stolen, or copied for malicious intent.

Periodically reviewing the storage facility enables the organization to address identified security issues in a timely manner, minimizing the potential risk.",9.5.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.6,PCI Data Security Standard v3.2.1 - 9.6,"Maintain strict control over the internal or external distribution of any kind of media, including the following: ",Procedures and processes help protect cardholder data on media distributed to internal and/or external users. Without such procedures data can be lost or stolen and used for fraudulent purposes.,9.6,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.6.1,PCI Data Security Standard v3.2.1 - 9.6.1,Classify media so the sensitivity of the data can be determined.,It is important that media be identified such that its classification status can be easily discernible. Media not identified as confidential may not be adequately protected or may be lost or stolen.,9.6.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.6.2,PCI Data Security Standard v3.2.1 - 9.6.2,Send the media by secured courier or other delivery method that can be accurately tracked.,Media may be lost or stolen if sent via a nontrackable method such as regular postal mail. Use of secure couriers to deliver any media that contains cardholder data allows organizations to use their tracking systems to maintain inventory and location of shipments.,9.6.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.6.3,PCI Data Security Standard v3.2.1 - 9.6.3,Ensure management approves any and all media that is moved from a secured area (including when media is distributed to individuals).,"Without a firm process for ensuring that all media movements are approved before the media is removed from secure areas, the media would not be tracked or appropriately protected, and its location would be unknown, leading to lost or stolen media.",9.6.3,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.7,PCI Data Security Standard v3.2.1 - 9.7,Maintain strict control over the storage and accessibility of media.,"Without careful inventory methods and storage controls, stolen or missing media could go unnoticed for an indefinite amount of time.

If media is not inventoried, stolen or lost media may not be noticed for a long time or at all.",9.7,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.7.1,PCI Data Security Standard v3.2.1 - 9.7.1,Properly maintain inventory logs of all media and conduct media inventories at least annually.,"Without careful inventory methods and storage controls, stolen or missing media could go unnoticed for an indefinite amount of time.

If media is not inventoried, stolen or lost media may not be noticed for a long time or at all.",9.7.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.8,PCI Data Security Standard v3.2.1 - 9.8,Destroy media when it is no longer needed for business or legal reasons as follows:,"If steps are not taken to destroy information contained on hard disks, portable drives, CD/DVDs, or paper prior to disposal, malicious individuals may be able to retrieve information from the disposed media, leading to a data compromise. For example, malicious individuals may use a technique known as “dumpster diving,” where they search through trashcans and recycle bins looking for information they can use to launch an attack.

Securing storage containers used for materials that are going to be destroyed prevents sensitive information from being captured while the materials are being collected. For example, “to-be-shredded” containers could have a lock preventing access to its contents or physic ally prevent access to the inside of the container.

Examples of methods for securely destroying electronic media include secure wiping, degaussing, or physical destruction (such as grinding or shredding hard disks).",9.8,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.8.1,PCI Data Security Standard v3.2.1 - 9.8.1,"Shred, incinerate, or pulp hard-copy materials so that cardholder data cannot be reconstructed. Secure storage containers used for materials that are to be destroyed.","If steps are not taken to destroy information contained on hard disks, portable drives, CD/DVDs, or paper prior to disposal, malicious individuals may be able to retrieve information from the disposed media, leading to a data compromise. For example, malicious individuals may use a technique known as “dumpster diving,” where they search through trashcans and recycle bins looking for information they can use to launch an attack.

Securing storage containers used for materials that are going to be destroyed prevents sensitive information from being captured while the materials are being collected. For example, “to-be-shredded” containers could have a lock preventing access to its contents or physic ally prevent access to the inside of the container.

Examples of methods for securely destroying electronic media include secure wiping, degaussing, or physical destruction (such as grinding or shredding hard disks).",9.8.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.8.2,PCI Data Security Standard v3.2.1 - 9.8.2,Render cardholder data on electronic media unrecoverable so that cardholder data cannot be reconstructed.,"If steps are not taken to destroy information contained on hard disks, portable drives, CD/DVDs, or paper prior to disposal, malicious individuals may be able to retrieve information from the disposed media, leading to a data compromise. For example, malicious individuals may use a technique known as “dumpster diving,” where they search through trashcans and recycle bins looking for information they can use to launch an attack.

Securing storage containers used for materials that are going to be destroyed prevents sensitive information from being captured while the materials are being collected. For example, “to-be-shredded” containers could have a lock preventing access to its contents or physic ally prevent access to the inside of the container.

Examples of methods for securely destroying electronic media include secure wiping, degaussing, or physical destruction (such as grinding or shredding hard disks).",9.8.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.9,PCI Data Security Standard v3.2.1 - 9.9,"Protect devices that capture payment card data via direct physical interaction with the card from tampering and substitution.

Note: These requirements apply to card-reading devices used in card-present transactions (that is, card swipe or dip) at the point of sale. This requirement is not intended to apply to manual key-entry components such as computer keyboards and POS keypads.","Criminals attempt to steal cardholder data by stealing and/or manipulating card-reading devices and terminals. For example, they will try to steal devices so they can learn how to break into them, and they often try to replace legitimate devices with fraudulent devices that send them payment card information every time a card is entered. Criminals will also try to add “skimming” components to the outside of devices, which are designed to capture payment card details before they even enter the device—for example, by attaching an additional card reader on top of the legitimate card reader so that the payment card details are captured twice: once by the criminal’s component and then by the device’s legitimate component. In this way, transactions may still be completed without interruption while the criminal is “skimming” the payment card information during the process.

This requirement is recommended, but not required, for manual key-entry components such as computer keyboards and POS keypads.

Additional best practices on skimming prevention are available on the PCI SSC website.",9.9,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.9.1,PCI Data Security Standard v3.2.1 - 9.9.1,"Maintain an up-to-date list of devices. The list should include the following:
•  Make, model of device
•  Location of device (for example, the address of the site or facility where the device is located)
•  Device serial number or other method of unique identification.","Keeping an up-to-date list of devices helps an organization keep track of where devices are supposed to be, and quickly identify if a device is missing or lost.

The method for maintaining a list of devices may be automated (for example, a device-management system) or manual (for example, documented in electronic or paper records). For on-the-road devices, the location may include the name of the personnel to whom the device is assigned.",9.9.1,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.9.2,PCI Data Security Standard v3.2.1 - 9.9.2,"Periodically inspect device surfaces to detect tampering (for example, addition of card skimmers to devices), or substitution (for example, by checking the serial number or other device characteristics to verify it has not been swapped with a fraudulent device).

Note: Examples of signs that a device might have been tampered with or substituted include unexpected attachments or cables plugged into the device, missing or changed security labels, broken or differently colored casing, or changes to the serial number or other external markings.","Regular inspections of devices will help organizations to more quickly detect tampering or replacement of a device, and thereby minimize the potential impact of using fraudulent devices.

The type of inspection will depend on the device— for example, photographs of devices that are known to be secure can be used to compare a device’s current appearance with its original appearance to see whether it has changed. Another option may be to use a secure marker pen, such as a UV light marker, to mark device surfaces and device openings so any tampering or replacement will be apparent. Criminals will often replace the outer casing of a device to hide their tampering, and these methods may help to detect such activities. Device vendors may also be able to provide security guidance and “how to” guides to help determine whether the device has been tampered with.

The frequency of inspections will depend on factors such as location of device and whether the device is attended or unattended. For example, devices left in public areas without supervision by the organization’s personnel may have more frequent inspections than devices that are kept in secure areas or are supervised when they are accessible to the public. The type and frequency of inspections is determined by the merchant, as defined by their annual risk-assessment process.",9.9.2,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.9.3,PCI Data Security Standard v3.2.1 - 9.9.3,"Provide training for personnel to be aware of attempted tampering or replacement of devices. Training should include the following:
•  Verify the identity of any third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices.
•  Do not install, replace, or return devices without verification.
•  Be aware of suspicious behavior around devices (for example, attempts by unknown persons to unplug or open devices).
•  Report suspicious behavior and indications of device tampering or substitution to appropriate personnel (for example, to a manager or security officer).","Criminals will often pose as authorized maintenance personnel in order to gain access to POS devices. All third parties requesting access to devices should always be verified before being provided access—for example, by checking with management or phoning the POS maintenance company (such as the vendor or acquirer) for verification. Many criminals will try to fool personnel by dressing for the part (for example, carrying toolboxes and dressed in work wear), and could also be knowledgeable about locations of devices, so it’s important personnel are trained to follow procedures at all times.

Another trick criminals like to use is to send a “new” POS system with instructions for swapping it with a legitimate system and “returning” the legitimate system to a specified address. The criminals may even provide return postage as they are very keen to get their hands on these devices. Personnel always verify with their manager or supplier that the device is legitimate and came from a trusted source before installing it or using it for business.",9.9.3,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 9.10,PCI Data Security Standard v3.2.1 - 9.10,"Ensure that security policies and operational procedures for restricting physical access to cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures for restricting physical access to cardholder data and CDE systems on a continuous basis.,9.10,Implement Strong Access Control Measures,Requirement 9: Restrict physical access to cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.1,PCI Data Security Standard v3.2.1 - 10.1,Implement audit trails to link all access to system components to each individual user.,It is critical to have a process or system that links user access to system components accessed. This system generates audit logs and provides the ability to trace back suspicious activity to a specific user.,10.1,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2,PCI Data Security Standard v3.2.1 - 10.2,Implement automated audit trails for all system components to reconstruct the following events:,"Generating audit trails of suspect activities alerts the system administrator, sends data to other monitoring mechanisms (like intrusion detection systems), and provides a history trail for postincident follow-up. Logging of the following events enables an organization to identify and trace potentially malicious activities",10.2,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.1,PCI Data Security Standard v3.2.1 - 10.2.1,All individual user accesses to cardholder data,"Malicious individuals could obtain knowledge of a user account with access to systems in the CDE, or they could create a new, unauthorized account in order to access cardholder data. A record of all individual accesses to cardholder data can identify which accounts may have been compromised or misused.",10.2.1,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.2,PCI Data Security Standard v3.2.1 - 10.2.2,All actions taken by any individual with root or administrative privileges,"Accounts with increased privileges, such as the “administrator” or “root” account, have the potential to greatly impact the security or operational functionality of a system. Without a log of the activities performed, an organization is unable to trace any issues resulting from an administrative mistake or misuse of privilege back to the specific action and individual.",10.2.2,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.3,PCI Data Security Standard v3.2.1 - 10.2.3,Access to all audit trails,"Malicious users often attempt to alter audit logs to hide their actions, and a record of access allows an organization to trace any inconsistencies or potential tampering of the logs to an individual account. Having access to logs identifying changes, additions, and deletions can help retrace steps made by unauthorized personnel.",10.2.3,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.4,PCI Data Security Standard v3.2.1 - 10.2.4,Invalid logical access attempts,Malicious individuals will often perform multiple access attempts on targeted systems. Multiple invalid login attempts may be an indication of an unauthorized user’s attempts to “brute force” or guess a password.,10.2.4,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.5,PCI Data Security Standard v3.2.1 - 10.2.5,"Use of and changes to identification and authentication mechanisms—including but not limited to creation of new accounts and elevation of privileges—and all changes, additions, or deletions to accounts with root or administrative privileges","Without knowing who was logged on at the time of an incident, it is impossible to identify the accounts that may have been used. Additionally, malicious users may attempt to manipulate the authentication controls with the intent of bypassing them or impersonating a valid account.",10.2.5,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.6,PCI Data Security Standard v3.2.1 - 10.2.6,"Initialization, stopping, or pausing of the audit logs",Turning the audit logs off (or pausing them) prior to performing illicit activities is a common practice for malicious users wishing to avoid detection. Initialization of audit logs could indicate that the log function was disabled by a user to hide their actions.,10.2.6,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.2.7,PCI Data Security Standard v3.2.1 - 10.2.7,Creation and deletion of system-level objects,"Malicious software, such as malware, often creates or replaces system level objects on the target system in order to control a particular function or operation on that system. By logging when system-level objects, such as database tables or stored procedures, are created or deleted, it will be easier to determine whether such modifications were authorized.",10.2.7,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3,PCI Data Security Standard v3.2.1 - 10.3,Record at least the following audit trail entries for all system components for each event:,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.1,PCI Data Security Standard v3.2.1 - 10.3.1,User identification,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.1,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.2,PCI Data Security Standard v3.2.1 - 10.3.2,Type of event,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.2,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.3,PCI Data Security Standard v3.2.1 - 10.3.3,Date and time,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.3,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.4,PCI Data Security Standard v3.2.1 - 10.3.4,Success or failure indication,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.4,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.5,PCI Data Security Standard v3.2.1 - 10.3.5,Origination of event,"By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.5,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.3.6,PCI Data Security Standard v3.2.1 - 10.3.6,"Identity or name of affected data, system component, or resource.","By recording these details for the auditable events at 10.2, a potential compromise can be quickly identified, and with sufficient detail to know who, what, where, when, and how.",10.3.6,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.4,PCI Data Security Standard v3.2.1 - 10.4,"Using time-synchronization technology, synchronize all critical system clocks and times and ensure that the following is implemented for acquiring, distributing, and storing time.

Note: One example of time synchronization technology is Network Time Protocol (NTP).","Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of event (crucial for forensic analysis in the event of a breach). For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity is critical in determining how the systems were compromised.",10.4,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.4.1,PCI Data Security Standard v3.2.1 - 10.4.1,Critical systems have the correct and consistent time.,"Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of event (crucial for forensic analysis in the event of a breach). For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity is critical in determining how the systems were compromised.",10.4.1,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.4.2,PCI Data Security Standard v3.2.1 - 10.4.2,Time data is protected.,"Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of event (crucial for forensic analysis in the event of a breach). For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity is critical in determining how the systems were compromised.",10.4.2,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.4.3,PCI Data Security Standard v3.2.1 - 10.4.3,Time settings are received from industry-accepted time sources.,"Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of event (crucial for forensic analysis in the event of a breach). For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity is critical in determining how the systems were compromised.",10.4.3,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,4 - Monitor and control access to your systems
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 10.5,PCI Data Security Standard v3.2.1 - 10.5,Secure audit trails so they cannot be altered.,"Often a malicious individual who has entered the network will attempt to edit the audit logs in order to hide their activity. Without adequate protection of audit logs, their completeness, accuracy, and integrity cannot be guaranteed, and the audit logs can be rendered useless as an investigation tool after a compromise.",10.5,Regularly Monitor and Test Networks,Requirement 10: Track and monitor all access to network resources and cardholder data,
