Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority,Defined approach requirements,Customized Approach Objective,Applicability Notes,Defined Approach Testing Procedures,Purpose,Good Practice,Definitions,Further Information,Examples
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.4.3,PCI Data Security Standard v4.0 - 10.4.3,Exceptions and anomalies identified during the review process are addressed.,"Purpose
If exceptions and anomalies identified during the log-review process are not investigated, the entity may be unaware of unauthorized and potentially malicious activities occurring within their network.

Good Practice
Entities should consider how to address the following when developing their processes for defining and managing exceptions and anomalies:
• How log review activities are recorded,
• How to rank and prioritize exceptions and anomalies,
• What procedures should be in place to report and escalate exceptions and anomalies, and
• Who is responsible for investigating and for any remediation tasks.

",10.4.3,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,Exceptions and anomalies identified during the review process are addressed.,Suspicious or anomalous activities are addressed.,,"a. Examine security policies and procedures to verify that processes are defined for addressing exceptions and anomalies identified during the review process.

b. Observe processes and interview personnel to verify that, when exceptions and anomalies are identified, they are addressed.","If exceptions and anomalies identified during the log-review process are not investigated, the entity may be unaware of unauthorized and potentially malicious activities occurring within their network.","Entities should consider how to address the following when developing their processes for defining and managing exceptions and anomalies:
• How log review activities are recorded,
• How to rank and prioritize exceptions and anomalies,
• What procedures should be in place to report and escalate exceptions and anomalies, and
• Who is responsible for investigating and for any remediation tasks.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.5,PCI Data Security Standard v4.0 - 10.5,Audit log history is retained and available for analysis.,,10.5,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.5.1,PCI Data Security Standard v4.0 - 10.5.1,"Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.","Good Practice
Retaining historical audit logs for at least 12 months is necessary because compromises often go unnoticed for significant lengths of time. Having centrally stored log history allows investigators to better determine the length of time a potential breach was occurring, and the possible system(s) impacted. By having three months of logs immediately available, an entity can quickly identify and minimize impact of a data breach.

",10.5.1,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Retain audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.",Historical records of activity are available immediately to support incident response and are retained for at least 12 months.,,"a. Examine documentation to verify that the following is defined:
• Audit log retention policies.
• Procedures for retaining audit log history for at least 12 months, with at least the most recent three months immediately available online.

b. Examine configurations of audit log history, interview personnel and examine audit logs to verify that audit logs history is retained for at least 12 months.

c. Interview personnel and observe processes to verify that at least the most recent three months’ audit log history is immediately available for analysis.",,"Retaining historical audit logs for at least 12 months is necessary because compromises often go unnoticed for significant lengths of time. Having centrally stored log history allows investigators to better determine the length of time a potential breach was occurring, and the possible system(s) impacted. By having three months of logs immediately available, an entity can quickly identify and minimize impact of a data breach.",,,"Methods that allow logs to be immediately available include storing logs online, archiving logs, or restoring logs quickly from backups."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.6,PCI Data Security Standard v4.0 - 10.6,Time-synchronization mechanisms support consistent time settings across all systems.,,10.6,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.6.1,PCI Data Security Standard v4.0 - 10.6.1,System clocks and time are synchronized using time-synchronization technology.,"Purpose
Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of events, which is crucial for forensic analysis following a breach. For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity are critical in determining how the systems were compromised.

",10.6.1,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,System clocks and time are synchronized using time-synchronization technology.,Common time is established across all systems.,Keeping time-synchronization technology current includes managing vulnerabilities and patching the technology according to PCI DSS Requirements 6.3.1 and 6.3.3.,Examine system configuration settings to verify that time-synchronization technology is implemented and kept current.,"Time synchronization technology is used to synchronize clocks on multiple systems. When clocks are not properly synchronized, it can be difficult, if not impossible, to compare log files from different systems and establish an exact sequence of events, which is crucial for forensic analysis following a breach. For post-incident forensics teams, the accuracy and consistency of time across all systems and the time of each activity are critical in determining how the systems were compromised.",,,,Network Time Protocol (NTP) is one example of time-synchronization technology.
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.6.2,PCI Data Security Standard v4.0 - 10.6.2,"Systems are configured to the correct and consistent time as follows:
• One or more designated time servers are in use.
• Only the designated central time server(s) receives time from external sources.
• Time received from external sources is based on International Atomic Time or Coordinated Universal Time (UTC).
• The designated time server(s) accept time updates only from specific industry-accepted external sources.
• Where there is more than one designated time server, the time servers peer with one another to keep accurate time.
• Internal systems receive time information only from designated central time server(s)","Purpose
Using reputable time servers is a critical component of the time synchronization process. Accepting time updates from specific, industry- accepted external sources helps prevent a malicious individual from changing time settings on systems.

Good Practice
Another option to prevent unauthorized use of internal time servers is to encrypt updates with a symmetric key and create access control lists that specify the IP addresses of client machines that will be provided with the time updates.

",10.6.2,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Systems are configured to the correct and consistent time as follows:
• One or more designated time servers are in use.
• Only the designated central time server(s) receives time from external sources.
• Time received from external sources is based on International Atomic Time or Coordinated Universal Time (UTC).
• The designated time server(s) accept time updates only from specific industry-accepted external sources.
• Where there is more than one designated time server, the time servers peer with one another to keep accurate time.
• Internal systems receive time information only from designated central time server(s)",The time on all systems is accurate and consistent.,,"Examine system configuration settings for acquiring, distributing, and storing the correct time to verify the settings are configured in accordance with all elements specified in this requirement.","Using reputable time servers is a critical component of the time synchronization process. Accepting time updates from specific, industry- accepted external sources helps prevent a malicious individual from changing time settings on systems.",Another option to prevent unauthorized use of internal time servers is to encrypt updates with a symmetric key and create access control lists that specify the IP addresses of client machines that will be provided with the time updates.,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.6.3,PCI Data Security Standard v4.0 - 10.6.3,"Time synchronization settings and data are protected as follows:
• Access to time data is restricted to only personnel with a business need.
• Any changes to time settings on critical systems are logged, monitored, and reviewed.","Purpose
Attackers will try to change time configurations to hide their activity. Therefore, restricting the ability to change or modify time synchronization configurations or the system time to administrators will lessen the probability of an attacker successfully changing time configurations.

",10.6.3,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Time synchronization settings and data are protected as follows:
• Access to time data is restricted to only personnel with a business need.
• Any changes to time settings on critical systems are logged, monitored, and reviewed.",System time settings cannot be modified by unauthorized personnel.,,"a. Examine system configurations and time- synchronization settings to verify that access to time data is restricted to only personnel with a business need.

b. Examine system configurations and time synchronization settings and logs and observe processes to verify that any changes to time settings on critical systems are logged, monitored, and reviewed.","Attackers will try to change time configurations to hide their activity. Therefore, restricting the ability to change or modify time synchronization configurations or the system time to administrators will lessen the probability of an attacker successfully changing time configurations.",,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.7,PCI Data Security Standard v4.0 - 10.7,"Failures of critical security control systems are detected, reported, and responded to promptly.",,10.7,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.7.1,PCI Data Security Standard v4.0 - 10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
• Network security controls.
• IDS/IPS.
• FIM.
• Anti-malware solutions.
• Physical access controls.
• Logical access controls.
• Audit logging mechanisms.
• Segmentation controls (if used).","Purpose
Without formal processes to detect and alert when critical security controls fail, failures may go undetected for extended periods and provide attackers ample time to compromise system components and steal account data from the CDE.

Good Practice
The specific types of failures may vary, depending on the function of the device system component and technology in use. Typical failures include a system ceasing to perform its security function or not functioning in its intended manner, such as a firewall erasing all its rules or going offline.

",10.7.1,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
• Network security controls.
• IDS/IPS.
• FIM.
• Anti-malware solutions.
• Physical access controls.
• Logical access controls.
• Audit logging mechanisms.
• Segmentation controls (if used).",Failures in critical security control systems are promptly identified and addressed.,This requirement applies only when the entity being assessed is a service provider. This requirement will be superseded by Requirement 10.7.2 as of 31 March 2025.,"a. Additional testing procedure for service provider assessments only: Examine documentation to verify that processes are defined for the prompt detection and addressing of failures of critical security control systems, including but not limited to failure of all elements specified in this requirement.

b. Additional testing procedure for service provider assessments only: Observe detection and alerting processes and interview personnel to verify that failures of critical security control systems are detected and reported, and that failure of a critical security control results in the generation of an alert.","Without formal processes to detect and alert when critical security controls fail, failures may go undetected for extended periods and provide attackers ample time to compromise system components and steal account data from the CDE.","The specific types of failures may vary, depending on the function of the device system component and technology in use. Typical failures include a system ceasing to perform its security function or not functioning in its intended manner, such as a firewall erasing all its rules or going offline.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.7.2,PCI Data Security Standard v4.0 - 10.7.2,"Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
• Network security controls.
• IDS/IPS.
• Change-detection mechanisms.
• Anti-malware solutions.
• Physical access controls.
• Logical access controls.
• Audit logging mechanisms.
• Segmentation controls (if used).
• Audit log review mechanisms.
• Automated security testing tools (if used).","Purpose
Without formal processes to detect and alert when critical security controls fail, failures may go undetected for extended periods and provide attackers ample time to compromise system components and steal account data from the CDE.

Good Practice
The specific types of failures may vary, depending on the function of the device system component and technology in use. However, typical failures include a system no longer performing its security function or not functioning in its intended manner—for example, a firewall erasing its rules or going offline.

",10.7.2,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security control systems:
• Network security controls.
• IDS/IPS.
• Change-detection mechanisms.
• Anti-malware solutions.
• Physical access controls.
• Logical access controls.
• Audit logging mechanisms.
• Segmentation controls (if used).
• Audit log review mechanisms.
• Automated security testing tools (if used).",Failures in critical security control systems are promptly identified and addressed.,"This requirement applies to all entities, including service providers, and will supersede Requirement 10.7.1 as of 31 March 2025. It includes two additional critical security control systems not in Requirement 10.7.1. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","a. Examine documentation to verify that processes are defined for the prompt detection and addressing of failures of critical security control systems, including but not limited to failure of all elements specified in this requirement.

b. Observe detection and alerting processes and interview personnel to verify that failures of critical security control systems are detected and reported, and that failure of a critical security control results in the generation of an alert.","Without formal processes to detect and alert when critical security controls fail, failures may go undetected for extended periods and provide attackers ample time to compromise system components and steal account data from the CDE.","The specific types of failures may vary, depending on the function of the device system component and technology in use. However, typical failures include a system no longer performing its security function or not functioning in its intended manner—for example, a firewall erasing its rules or going offline.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 10.7.3,PCI Data Security Standard v4.0 - 10.7.3,"Failures of any critical security controls systems are responded to promptly, including but not limited to:
• Restoring security functions.
• Identifying and documenting the duration (date and time from start to end) of the security failure.
• Identifying and documenting the cause(s) of failure and documenting required remediation.
• Identifying and addressing any security issues that arose during the failure.
• Determining whether further actions are required as a result of the security failure.
• Implementing controls to prevent the cause of failure from reoccurring.
• Resuming monitoring of security controls.","Purpose
If alerts from failures of critical security control systems are not responded to quickly and effectively, attackers may use this time to insert malicious software, gain control of a system, or steal data from the entity’s environment.

Good Practice
Documented evidence (for example, records within a problem management system) should provide support that processes and procedures are in place to respond to security failures. In addition, personnel should be aware of their responsibilities in the event of a failure. Actions and responses to the failure should be captured in the documented evidence.

",10.7.3,Regularly Monitor and Test Networks ,Requirement 10: Log and Monitor All Access to System Components and Cardholder Data ,,"Failures of any critical security controls systems are responded to promptly, including but not limited to:
• Restoring security functions.
• Identifying and documenting the duration (date and time from start to end) of the security failure.
• Identifying and documenting the cause(s) of failure and documenting required remediation.
• Identifying and addressing any security issues that arose during the failure.
• Determining whether further actions are required as a result of the security failure.
• Implementing controls to prevent the cause of failure from reoccurring.
• Resuming monitoring of security controls.","Failures of critical security control systems are analyzed, contained, and resolved, and security controls restored to minimize impact. Resulting security issues are addressed, and measures taken to prevent reoccurrence.","This requirement applies only when the entity being assessed is a service provider until 31 March 2025, after which this requirement will apply to all entities. This is a current v3.2.1 requirement that applies to service providers only. However, this requirement is a best practice for all other entities until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","a. Examine documentation and interview personnel to verify that processes are defined and implemented to respond to a failure of any critical security control system and include at least all elements specified in this requirement.

b. Examine records to verify that failures of critical security control systems are documented to include:
• Identification of cause(s) of the failure.
• Duration (date and time start and end) of the security failure.
• Details of the remediation required to address the root cause.","If alerts from failures of critical security control systems are not responded to quickly and effectively, attackers may use this time to insert malicious software, gain control of a system, or steal data from the entity’s environment.","Documented evidence (for example, records within a problem management system) should provide support that processes and procedures are in place to respond to security failures. In addition, personnel should be aware of their responsibilities in the event of a failure. Actions and responses to the failure should be captured in the documented evidence.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.1,PCI Data Security Standard v4.0 - 11.1,Processes and mechanisms for regularly testing security of systems and networks are defined and understood.,,11.1,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.1.1,PCI Data Security Standard v4.0 - 11.1.1,"All security policies and operational procedures that are identified in Requirement 11 are:
• Documented.
• Kept up to date.
• In use.
• Known to all affected parties.","Purpose
Requirement 11.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 11. While it is important to define the specific policies or procedures called out in Requirement 11, it is equally important to ensure they are properly documented, maintained, and disseminated.

Good Practice
It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.

Definitions
Requirement 11.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 11. While it is important to define the specific policies or procedures called out in Requirement 11, it is equally important to ensure they are properly documented, maintained, and disseminated.

",11.1.1,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,"All security policies and operational procedures that are identified in Requirement 11 are:
• Documented.
• Kept up to date.
• In use.
• Known to all affected parties.","Expectations, controls, and oversight for meeting activities within Requirement 11 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management’s intent.",,Examine documentation and interview personnel to verify that security policies and operational procedures are managed in accordance with all elements specified in this requirement.,"Requirement 11.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 11. While it is important to define the specific policies or procedures called out in Requirement 11, it is equally important to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.","Security policies define the entity’s security objectives and principles. Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.",,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.1.2,PCI Data Security Standard v4.0 - 11.1.2,"Roles and responsibilities for performing activities in Requirement 11 are documented, assigned, and understood.","Purpose
If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur.

Good Practice
Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.

",11.1.2,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,"Roles and responsibilities for performing activities in Requirement 11 are documented, assigned, and understood.","Day-to-day responsibilities for performing all the activities in Requirement 11 are allocated. Personnel are accountable for successful, continuous operation of these requirements.",,"a. Examine documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 11 are documented and assigned.

b. Interview personnel with responsibility for performing activities in Requirement 11 to verify that roles and responsibilities are assigned as documented and are understood.","If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur.","Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",,,"A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix)."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2,PCI Data Security Standard v4.0 - 1.2,"Wireless access points are identified and monitored, and unauthorized wireless access points are addressed.",,1.2,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.2.1,PCI Data Security Standard v4.0 - 11.2.1,"Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.","Purpose
Implementation and/or exploitation of wirelesstechnology within a network are common pathsfor malicious users to gain unauthorized access tothe network and cardholder data. Unauthorizedwireless devices could be hidden within orattached to a computer or other systemcomponent. These devices could also beattached directly to a network port, to a networkdevice such as a switch or router, or inserted as awireless interface card inside a systemcomponent.If a wireless device or network is installed withouta company’s knowledge, it can allow an attackerto enter the network easily and “invisibly.”Detecting and removing such unauthorizedaccess points reduces the duration and likelihoodof such devices being leveraged for an attack.

Good Practice
The size and complexity of an environment will dictate the appropriate tools and processes to be used to provide sufficient assurance that a rogue wireless access point has not been installed in the environment. For example, performing a detailed physicalinspection of a single stand-alone retail kiosk in ashopping mall, where all communicationcomponents are contained within tamper-resistantand tamper-evident casings, may be sufficient toprovide assurance that a rogue wireless accesspoint has not been attached or installed.However, in an environment with multiple nodes(such as in a large retail store, call center, serverroom or data center), detailed physical inspectioncan be difficult. In this case, multiple methodsmay be combined, such as performing physicalsystem inspections in conjunction with the resultsof a wireless analyzer.

Definitions
Implementation and/or exploitation of wirelesstechnology within a network are common pathsfor malicious users to gain unauthorized access tothe network and cardholder data. Unauthorizedwireless devices could be hidden within orattached to a computer or other systemcomponent. These devices could also beattached directly to a network port, to a networkdevice such as a switch or router, or inserted as awireless interface card inside a systemcomponent.If a wireless device or network is installed withouta company’s knowledge, it can allow an attackerto enter the network easily and “invisibly.”Detecting and removing such unauthorizedaccess points reduces the duration and likelihoodof such devices being leveraged for an attack.

",11.2.1,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,"Authorized and unauthorized wireless access points are managed as follows:
• The presence of wireless (Wi-Fi) access points is tested for,
• All authorized and unauthorized wireless access points are detected and identified,
• Testing, detection, and identification occurs at least once every three months.
• If automated monitoring is used, personnel are notified via generated alerts.",Unauthorized wireless access points are identified and addressed periodically.,"The requirement applies even when a policy exists that prohibits the use of wireless technology since attackers do not read and follow company policy. Methods used to meet this requirement must be sufficient to detect and identify both authorized and unauthorized devices, including unauthorized devices attached to devices that themselves are authorized.","a. Examine policies and procedures to verify processes are defined for managing both authorized and unauthorized wireless access points with all elements specified in this requirement.

b. Examine the methodology(ies) in use and the resulting documentation, and interview personnel to verify processes are defined to detect and identify both authorized and unauthorized wireless access points in accordance with all elements specified in this requirement.

c. Examine wireless assessment results and interview personnel to verify that wireless assessments were conducted in accordance with all elements specified in this requirement.

d. If automated monitoring is used, examine configuration settings to verify the configuration will generate alerts to notify personnel.","Implementation and/or exploitation of wirelesstechnology within a network are common pathsfor malicious users to gain unauthorized access tothe network and cardholder data. Unauthorizedwireless devices could be hidden within orattached to a computer or other systemcomponent. These devices could also beattached directly to a network port, to a networkdevice such as a switch or router, or inserted as awireless interface card inside a systemcomponent.If a wireless device or network is installed withouta company’s knowledge, it can allow an attackerto enter the network easily and “invisibly.”Detecting and removing such unauthorizedaccess points reduces the duration and likelihoodof such devices being leveraged for an attack.","The size and complexity of an environment will dictate the appropriate tools and processes to be used to provide sufficient assurance that a rogue wireless access point has not been installed in the environment. For example, performing a detailed physicalinspection of a single stand-alone retail kiosk in ashopping mall, where all communicationcomponents are contained within tamper-resistantand tamper-evident casings, may be sufficient toprovide assurance that a rogue wireless accesspoint has not been attached or installed.However, in an environment with multiple nodes(such as in a large retail store, call center, serverroom or data center), detailed physical inspectioncan be difficult. In this case, multiple methodsmay be combined, such as performing physicalsystem inspections in conjunction with the resultsof a wireless analyzer.",This is also referred to as rogue access point detection.,,"Methods that may be used include but are not limited to wireless network scans, physical/logical inspections of system components and infrastructure, network access control (NAC), or wireless IDS/IPS. NAC and wireless IDS/IPS are examples of automated monitoring tools."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.2.2,PCI Data Security Standard v4.0 - 11.2.2,"An inventory of authorized wireless access points is maintained, including a documented business justification.","Purpose
An inventory of authorized wireless access points can help administrators quickly respond when unauthorized wireless access points are detected. This helps to proactively minimize the exposure of CDE to malicious individuals.

Good Practice
If using a wireless scanner, it is equally important to have a defined list of known access points which, while not attached to the company’s network, will usually be detected during a scan. These non-company devices are often found in multi-tenant buildings or businesses located near one another. However, it is important to verify that these devices are not connected to the entity’s network port or through another network- connected device and given an SSID resembling a nearby business. Scan results should note such devices and how it was determined that these devices could be “ignored.” In addition, detection of any unauthorized wireless access points that are determined to be a threat to the CDE should be managed following the entity’s incident response plan per Requirement 12.10.1.

",11.2.2,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,"An inventory of authorized wireless access points is maintained, including a documented business justification.",Unauthorized wireless access points are not mistaken for authorized wireless access points.,,"Examine documentation to verify that an inventory of authorized wireless access points is maintained, and a business justification is documented for all authorized wireless access points.",An inventory of authorized wireless access points can help administrators quickly respond when unauthorized wireless access points are detected. This helps to proactively minimize the exposure of CDE to malicious individuals.,"If using a wireless scanner, it is equally important to have a defined list of known access points which, while not attached to the company’s network, will usually be detected during a scan. These non-company devices are often found in multi-tenant buildings or businesses located near one another. However, it is important to verify that these devices are not connected to the entity’s network port or through another network- connected device and given an SSID resembling a nearby business. Scan results should note such devices and how it was determined that these devices could be “ignored.” In addition, detection of any unauthorized wireless access points that are determined to be a threat to the CDE should be managed following the entity’s incident response plan per Requirement 12.10.1.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.3,PCI Data Security Standard v4.0 - 11.3,"External and internal vulnerabilities are regularly identified, prioritized, and addressed.",,11.3,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 11.3.1,PCI Data Security Standard v4.0 - 11.3.1,"Internal vulnerability scans are performed as follows:
• At least once every three months.
• High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are resolved.
• Rescans are performed that confirm all high-risk and critical vulnerabilities (as noted above) have been resolved.
• Scan tool is kept up to date with latest vulnerability information.
• Scans are performed by qualified personnel and organizational independence of the tester exists.","Purpose
Identifying and addressing vulnerabilities promptlyreduces the likelihood of a vulnerability beingexploited and the potential compromise of asystem component or cardholder data.Vulnerability scans conducted at least every threemonths provide this detection and identification.

Good Practice
Vulnerabilities posing the greatest risk to the environment (for example, ranked high or critical per Requirement 6.3.1) should be resolved with the highest priority. Multiple scan reports can be combined for the quarterly scan process to show that all systems were scanned and all applicable vulnerabilities were resolved as part of the three-month vulnerability scan cycle. However, additional, documentation may be required to verify non- remediated vulnerabilities are in the process of being resolved. While scans are required at least once every three months, more frequent scans are recommended depending on the network complexity, frequency of change, and types of devices, software, and operating systems used.

Definitions
Identifying and addressing vulnerabilities promptlyreduces the likelihood of a vulnerability beingexploited and the potential compromise of asystem component or cardholder data.Vulnerability scans conducted at least every threemonths provide this detection and identification.

",11.3.1,Regularly Monitor and Test Networks ,Requirement 11: Test Security of Systems and Networks Regularly ,,"Internal vulnerability scans are performed as follows:
• At least once every three months.
• High-risk and critical vulnerabilities (per the entity’s vulnerability risk rankings defined at Requirement 6.3.1) are resolved.
• Rescans are performed that confirm all high-risk and critical vulnerabilities (as noted above) have been resolved.
• Scan tool is kept up to date with latest vulnerability information.
• Scans are performed by qualified personnel and organizational independence of the tester exists.",The security posture of all system components is verified periodically using automated tools designed to detect vulnerabilities operating inside the network. Detected vulnerabilities are assessed and rectified based on a formal risk assessment framework.,"It is not required to use a QSA or ASV to conduct internal vulnerability scans. Internal vulnerability scans can be performed by qualified, internal staff that are reasonably independent of the system component(s) being scanned (for example, a network administrator should not be responsible for scanning the network), or an entity may choose to have internal vulnerability scans performed by a firm specializing in vulnerability scanning.","a. Examine internal scan report results from the last 12 months to verify that internal scans occurred at least once every three months in the most recent 12-month period.

b. Examine internal scan report results from each scan and rescan run in the last 12 months to verify that all high-risk and critical vulnerabilities (identified in PCI DSS Requirement 6.3.1) are resolved.

c. Examine scan tool configurations and interview personnel to verify that the scan tool is kept up to date with the latest vulnerability information.

d. Interview responsible personnel to verify that the scan was performed by a qualified internal resource(s) or qualified external third party and that organizational independence of the tester exists.",Identifying and addressing vulnerabilities promptlyreduces the likelihood of a vulnerability beingexploited and the potential compromise of asystem component or cardholder data.Vulnerability scans conducted at least every threemonths provide this detection and identification.,"Vulnerabilities posing the greatest risk to the environment (for example, ranked high or critical per Requirement 6.3.1) should be resolved with the highest priority. Multiple scan reports can be combined for the quarterly scan process to show that all systems were scanned and all applicable vulnerabilities were resolved as part of the three-month vulnerability scan cycle. However, additional, documentation may be required to verify non- remediated vulnerabilities are in the process of being resolved. While scans are required at least once every three months, more frequent scans are recommended depending on the network complexity, frequency of change, and types of devices, software, and operating systems used.","A vulnerability scan is a combination of automated tools, techniques, and/or methods run against external and internal devices and servers, designed to expose potential vulnerabilities in applications, operating systems, and network devices that could be found and exploited by malicious individuals.",,
